Day,Demand,ServedToday,UnfilledToday,OnHandEnd,BackorderEnd,Arrivals,OrderPlaced,HoldingCost,StockoutCost
1,106,106,0,394,0,0,0,394.0,0.0
2,79,79,0,315,0,0,0,315.0,0.0
3,115,115,0,200,0,0,300,200.0,0.0
4,61,61,0,139,0,0,0,139.0,0.0
5,74,74,0,65,0,0,0,65.0,0.0
6,103,65,38,0,38,0,0,0.0,380.0
7,94,0,94,0,132,0,200,0.0,940.0
8,83,83,0,85,0,300,0,85.0,0.0
9,118,85,33,0,33,0,300,0.0,330.0
10,101,101,0,66,0,200,0,66.0,0.0
11,123,66,57,0,57,0,0,0.0,570.0
12,109,0,109,0,166,0,200,0.0,1090.0
13,107,0,107,0,273,0,0,0.0,1070.0
14,81,0,81,0,354,0,0,0.0,810.0
15,118,0,118,0,472,0,0,0.0,1180.0
16,99,0,99,0,271,300,300,0.0,990.0
17,86,0,86,0,157,200,200,0.0,860.0
18,97,0,97,0,254,0,0,0.0,970.0
19,91,0,91,0,345,0,0,0.0,910.0
20,93,0,93,0,438,0,0,0.0,930.0
21,111,0,111,0,249,300,300,0.0,1110.0
22,108,0,108,0,357,0,0,0.0,1080.0
23,109,0,109,0,466,0,0,0.0,1090.0
24,143,34,109,0,109,500,500,0.0,1090.0
25,90,0,90,0,199,0,0,0.0,900.0
26,84,0,84,0,283,0,0,0.0,840.0
27,112,0,112,0,395,0,0,0.0,1120.0
28,123,0,123,0,518,0,0,0.0,1230.0
29,98,0,98,0,616,0,0,0.0,980.0
30,83,0,83,0,699,0,0,0.0,830.0
31,84,0,84,0,283,500,500,0.0,840.0
32,115,0,115,0,398,0,0,0.0,1150.0
33,111,0,111,0,509,0,0,0.0,1110.0
34,87,0,87,0,596,0,0,0.0,870.0
35,105,0,105,0,701,0,0,0.0,1050.0
36,102,0,102,0,303,500,500,0.0,1020.0
37,117,0,117,0,420,0,0,0.0,1170.0
38,104,0,104,0,524,0,0,0.0,1040.0
39,114,0,114,0,638,0,0,0.0,1140.0
40,101,0,101,0,739,0,0,0.0,1010.0
41,106,0,106,0,345,500,500,0.0,1060.0
42,71,0,71,0,416,0,0,0.0,710.0
43,94,0,94,0,510,0,0,0.0,940.0
44,91,0,91,0,601,0,0,0.0,910.0
45,87,0,87,0,688,0,0,0.0,870.0
46,94,0,94,0,282,500,500,0.0,940.0
47,83,0,83,0,365,0,0,0.0,830.0
48,119,0,119,0,484,0,0,0.0,1190.0
49,66,16,50,0,50,500,500,0.0,500.0
50,103,0,103,0,153,0,0,0.0,1030.0
51,112,0,112,0,265,0,0,0.0,1120.0
52,114,0,114,0,379,0,0,0.0,1140.0
53,116,0,116,0,495,0,0,0.0,1160.0
54,93,5,88,0,88,500,500,0.0,880.0
55,117,0,117,0,205,0,0,0.0,1170.0
56,96,0,96,0,301,0,0,0.0,960.0
57,74,0,74,0,375,0,0,0.0,740.0
58,77,0,77,0,452,0,0,0.0,770.0
59,82,48,34,0,34,500,500,0.0,340.0
60,103,0,103,0,137,0,0,0.0,1030.0
